name,costMoonstone,costGold,requiredTier,description,qty,attunement
Silvered Weapon,1,175,1,,999999999,n
Charlatan's Die,1,175,1,,0,n
Driftglobe,1,175,1,,999999999,n
Enduring Spellbook,1,175,1,,999999999,n
Masque Charm,1,175,1,,999999999,n
Moon Touched Blade,1,175,1,,999999999,n
Mystery Key,1,175,1,,1,n
Oil of Slipperiness,1,175,1,,999999999,n
Orb of Direction,1,175,1,,999999999,n
Perfume of Bewitching,1,175,1,,1,n
Pipe of Smoke Monsters,1,175,1,,999999999,n
Pole of Angling,1,175,1,,999999999,n
Potion of Climbing,1,175,1,,999999999,n
Rope of Mending,1,175,1,,999999999,n
Shield of Expression,1,175,1,,999999999,n
Smoldering Armor,1,175,1,,999999999,n
Staff of Adornment,1,175,1,,999999999,n
Staff of Bird Calls,1,175,1,,999999999,n
Staff of Flowers,1,175,1,,999999999,n
Talking Doll,1,175,1,,999999999,n
Veterans Cane,1,175,1,,999999999,n
Wand of Conducting,1,175,1,,999999999,n
Wand of Pyrotechnics,1,175,1,,999999999,n
Wand of Scowls,1,175,1,,999999999,n
Wand of Smiles,1,175,1,,999999999,n
Alchemy Jug,3,600,1,,999999999,n
Bag of Holding ,3,600,1,,1,n
Cast off Armor,3,600,1,,999999999,n
Clockwork Amulet,3,600,1,,1,n
Lock of Trickery,3,600,1,,1,n
Periapt of Health,3,600,1,,999999999,n
Potion of Heroism,3,600,1,,1,n
Potion of Clairvoyance,3,600,1,,1,n
Walloping Ammunition X10,3,600,1,,999999999,n
Boots of Winterlands,5,900,1,,1,n
Eyes of Minute Seeing,5,900,1,,0,n
Eyes of the Eagle,5,900,1,,1,n
Goggles of Night,5,900,1,,0,n
Hat of Disguise,5,900,1,,0,n
Nature's Mantle,5,900,1,,0,y
Pipes of Haunting,5,900,1,,1,n
Potion of Gaseous Form,5,900,1,,1,n
Potion of Hill Giant Strength,5,900,1,,0,n
Ring of Swimming,5,900,1,,1,n
Ring of Warmth,5,900,1,,1,n
Rope of Climbing,5,900,1,,1,n
Sending Stones,5,900,1,,1,n
Wand of Magic Detection,5,900,1,,0,n
Wand of Secrets,5,900,1,,1,n
Weapon of Warning,5,900,1,,1,n
Wind Fan,5,900,1,,0,n
Circlet of Blasting,7,1200,1,,1,n
Cap of Waterbreathing,7,1200,1,,1,n
Fine  weapons (+1),7,1200,1,,999999999,n
Fine Shield (+1),7,1200,1,,999999999,n
Sentinel Shield,7,1200,1,,1,n
Saddle of the Cavalier,7,1200,1,,1,n
